team,player_name,section,fg_id,mlb_id
padres,Bradgley Rodriguez,Projected Bullpen,29107,699134
padres,Bryce Johnson,Projected Bench,20002,669369
padres,David Morgan,Projected Bullpen,31616,688158
padres,Fernando Tatis Jr.,Starting Lineup,19709,665487
padres,Freddy Fermin,Starting Lineup,21840,666023
padres,Gavin Sheets,Starting Lineup,19901,657757
padres,Germán Márquez,Projected Starting Rotation,15038,608566
padres,Jackson Merrill,Starting Lineup,29490,701538
padres,Jake Cronenworth,Starting Lineup,18036,630105
padres,Jeremiah Estrada,Projected Bullpen,22210,669093
padres,Joe Musgrove,Projected Starting Rotation,12970,605397
padres,Luis Campusano,Projected Bench,22217,669134
padres,Manny Machado,Starting Lineup,11493,592518
padres,Mason Miller,Projected Bullpen,31757,695243
padres,Michael King,Projected Starting Rotation,19853,650633
padres,Miguel Andujar,Starting Lineup,15878,609280
padres,Nick Castellanos,Projected Bench,11737,592206
padres,Nick Pivetta,Projected Starting Rotation,15454,601713
padres,Ramón Laureano,Starting Lineup,17128,657656
padres,Randy Vásquez,Projected Starting Rotation,24719,681190
padres,Ron Marinaccio,Projected Bullpen,23488,676760
padres,Sung-Mun Song,Projected Bench,sa3012529,823550
padres,Wandy Peralta,Projected Bullpen,14295,593974
padres,Xander Bogaerts,Starting Lineup,12161,593428
padres,Yuki Matsui,Projected Bullpen,33826,673513
phillies,Aaron Nola,Projected Starting Rotation,16149,605400
phillies,Adolis García,Starting Lineup,19287,666969
phillies,Alec Bohm,Starting Lineup,21618,664761
phillies,Andrew Painter,Projected Starting Rotation,sa3017880,691725
phillies,Brad Keller,Projected Bullpen,15734,641745
phillies,Brandon Marsh,Starting Lineup,20202,669016
phillies,Bryce Harper,Starting Lineup,11579,547180
phillies,Bryson Stott,Starting Lineup,26294,681082
phillies,Cristopher Sánchez,Projected Starting Rotation,20778,650911
phillies,Dylan Moore,Projected Bench,18042,664238
phillies,Edmundo Sosa,Projected Bench,17022,624641
phillies,J.T. Realmuto,Starting Lineup,11739,592663
phillies,Jesús Luzardo,Projected Starting Rotation,19959,666200
phillies,Jhoan Duran,Projected Bullpen,21029,661395
phillies,Jonathan Bowlan,Projected Bullpen,24607,680742
phillies,José Alvarado,Projected Bullpen,17780,621237
phillies,Justin Crawford,Starting Lineup,sa3020240,702222
phillies,Kyle Backhus,Projected Bullpen,29615,679775
phillies,Kyle Schwarber,Starting Lineup,16478,656941
phillies,Orion Kerkering,Projected Bullpen,31776,689147
phillies,Otto Kemp,Projected Bench,31792,805249
phillies,Rafael Marchán,Projected Bench,21646,665561
phillies,Taijuan Walker,Projected Starting Rotation,11836,592836
phillies,Tanner Banks,Projected Bullpen,16990,621383
phillies,Trea Turner,Starting Lineup,16252,607208
phillies,Zach McCambley,Projected Bullpen,sa3014478,
pirates,Brandon Lowe,Starting Lineup,18882,664040
pirates,Braxton Ashcraft,Projected Starting Rotation,23793,677952
pirates,Bryan Reynolds,Starting Lineup,19326,668804
pirates,Bubba Chandler,Projected Starting Rotation,29868,696149
pirates,Carmen Mlodzinski,Projected Bullpen,27572,669387
pirates,Dennis Santana,Projected Bullpen,17878,642701
pirates,Evan Sisk,Projected Bullpen,24995,
pirates,Gregory Soto,Projected Bullpen,19677,642397
pirates,Henry Davis,Projected Bench,29617,680779
pirates,Isaac Mattson,Projected Bullpen,20385,676755
pirates,Jake Mangum,Projected Bench,26202,663968
pirates,Jared Triolo,Starting Lineup,25807,669707
pirates,Jhostynxon Garcia,Projected Bench,28142,691373
