Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jonathan Hernández","PHI","ST",29,0,1,4.695650226903904,8,0,0,0,1,1,1,7.2,29,4,4,4,1,4,0,0,0,0,7,"Jonathan Hernandez","17464",642546
"Jack Flaherty","DET","ST",30,1,0,7.875,3,3,0,0,0,0,0,8,32,7,7,7,2,2,0,0,0,0,8,"Jack Flaherty","17479",656427
"Génesis Cabrera","PHI","ST",29,0,2,2.5714285714285716,7,0,0,0,0,0,4,7,27,4,2,2,1,3,0,0,0,0,5,"Genesis Cabrera","17490",650893
"Jimmy Herget","COL","ST",32,0,1,8.1,8,2,0,0,0,0,1,10,45,9,9,9,3,4,0,2,0,0,8,"Jimmy Herget","17556",623474
"JT Brubaker","SFG","ST",32,2,0,2.4545454545454546,5,2,0,0,0,0,1,11,44,5,4,3,1,9,0,0,0,0,11,"JT Brubaker","17578",664141
"Tanner Scott","LAD","ST",31,0,0,1.2272732592813576,8,0,0,0,0,0,2,7.1,31,7,3,1,1,1,0,0,0,0,11,"Tanner Scott","17586",656945
"Mitch Keller","PIT","ST",30,0,1,5.55882508862021,4,4,0,0,0,0,0,11.1,52,11,7,7,3,7,0,0,0,0,15,"Mitch Keller","17594",656605
"Cristian Javier","HOU","ST",29,0,0,1.588234403142142,2,2,0,0,0,0,0,5.2,25,3,2,1,0,4,0,1,0,0,8,"Cristian Javier","17606",664299
"Tanner Rainey","DET","ST",33,0,0,1.173912556725976,8,1,0,0,0,0,0,7.2,30,4,1,1,0,6,0,0,0,0,6,"Tanner Rainey","17610",663432
"Taylor Clarke","ARI","ST",33,0,0,1.173912556725976,7,2,0,0,0,0,1,7.2,29,4,1,1,1,2,0,0,1,1,5,"Taylor Clarke","17611",664199
"Jeffrey Springs","ATH","ST",33,1,0,7.941178698028873,4,4,0,0,0,0,0,11.1,56,13,10,10,2,9,0,0,0,0,11,"Jeffrey Springs","17677",605488
"Jose Cuas","KCR","ST",32,0,0,7.875,8,0,0,0,0,2,0,8,36,6,7,7,2,6,0,1,1,1,10,"Jose Cuas","17701",621016
"Trevor Megill","MIL","ST",32,0,0,1.588234403142142,6,0,0,0,0,0,0,5.2,22,4,1,1,1,1,0,0,1,0,13,"Trevor Megill","17722",656730
"Tyler Alexander","TEX","ST",31,1,1,2.7,5,0,0,0,0,1,1,10,41,8,3,3,1,4,0,0,0,0,7,"Tyler Alexander","17735",641302
"José Alvarado","PHI","ST",31,2,0,2.25,8,0,0,0,0,0,2,8,29,4,2,2,2,2,0,0,0,0,10,"Jose Alvarado","17780",621237
"Tayler Saucedo","LAA","ST",33,0,0,5.142857142857143,7,0,0,0,1,0,1,7,32,7,4,4,1,3,0,1,1,0,8,"Tayler Saucedo","17888",642048
"Cody Ponce","TOR","ST",32,2,0,0.6585364321879801,5,5,0,0,0,0,0,13.2,50,7,1,1,0,4,0,0,0,0,12,"Cody Ponce","17920",664074
"Tyler Gilbert","CHW","ST",32,0,1,4.5,6,0,0,0,1,0,1,6,25,6,3,3,1,1,0,0,1,1,8,"Tyler Gilbert","17964",656457
"Brock Burke","CIN","ST",29,0,1,14.4,6,0,0,0,0,1,1,5,29,9,8,8,1,6,0,0,1,0,5,"Brock Burke","17968",656271
"Peter Lambert","HOU","ST",29,1,1,2.918919671269925,5,2,0,0,0,0,2,12.1,54,16,4,4,0,5,0,0,0,0,8,"Peter Lambert","17969",663567
"Logan Webb","SFG","ST",29,2,0,6.750002299037082,3,3,0,0,0,0,0,9.1,38,10,7,7,1,1,0,1,0,0,10,"Logan Webb","17995",657277
"Pete Fairbanks","MIA","ST",32,0,0,0,5,0,0,0,0,0,0,5,18,1,0,0,0,2,0,0,0,0,7,"Pete Fairbanks","17998",664126
"Triston McKenzie","SDP","ST",28,1,1,9.947373413976074,4,0,0,0,0,0,0,6.1,36,9,7,7,1,9,0,0,2,0,11,"Triston McKenzie","18000",663474
"Phil Maton","CHC","ST",33,0,0,0,5,0,0,0,0,0,2,5,19,1,0,0,0,4,0,1,1,0,4,"Phil Maton","18064",664208
"Ryan Helsley","BAL","ST",31,0,0,0,5,0,0,0,0,0,1,5,17,3,0,0,0,1,0,0,0,0,5,"Ryan Helsley","18138",664854
"Anthony Misiewicz","CIN","ST",31,0,0,1.5,6,0,0,0,0,0,2,6,23,3,1,1,0,2,0,0,0,0,6,"Anthony Misiewicz","18152",664948
"Jacob Waguespack","MIL","ST",32,0,0,1.173912556725976,7,0,0,0,0,0,2,7.2,26,3,1,1,0,2,0,0,0,0,7,"Jacob Waguespack","18318",621097
"Josh Sborz","TEX","ST",32,0,0,2.5714285714285716,7,0,0,0,0,0,3,7,27,5,2,2,0,2,0,0,2,0,7,"Josh Sborz","18323",622250
"Nick Anderson","ATH","ST",35,0,0,3.2400012359623855,8,0,0,0,0,0,2,8.1,34,6,4,3,1,3,0,0,0,0,9,"Nick Anderson","18337",623433
"Julian Fernández","WSN","ST",30,0,0,9,6,0,0,0,0,1,2,5,24,5,5,5,0,3,0,0,1,0,5,"Julian Fernandez","18341",642759
"Michael Soroka","ARI","ST",28,0,0,4.153844630225024,3,3,0,0,0,0,0,8.2,38,7,4,4,1,5,0,0,0,0,12,"Michael Soroka","18383",647336
"José Urquidy","PIT","ST",31,0,1,9.346150418006303,3,3,0,0,0,0,0,8.2,40,12,9,9,3,3,0,0,2,0,6,"Jose Urquidy","18413",664353
"Enmanuel De Jesus","DET","ST",29,0,1,0,2,1,0,0,0,0,0,6.1,24,4,3,0,0,1,0,0,1,0,7,"Enmanuel De Jesus","18554",646241
"Jake Woodford","TBR","ST",29,0,0,1.2272732592813576,4,2,0,0,0,0,1,7.1,29,4,1,1,1,2,0,1,0,0,5,"Jake Woodford","18674",663765
"Freddy Peralta","NYM","ST",30,2,1,2.7,3,3,0,0,0,0,0,10,35,4,3,3,0,2,0,0,0,0,12,"Freddy Peralta","18679",642547
"Sandy Alcantara","MIA","ST",30,1,1,5.625,3,3,0,0,0,0,0,8,33,5,5,5,1,2,0,0,0,0,10,"Sandy Alcantara","18684",645261
"Kolby Allard","CLE","ST",28,0,0,4.378379506904888,6,1,0,0,0,0,1,12.1,53,11,7,6,2,5,0,2,1,0,9,"Kolby Allard","18694",663465
"Pedro Avila","CLE","ST",29,0,0,3.2400012359623855,6,0,0,0,0,0,1,8.1,34,10,4,3,1,1,0,0,0,0,4,"Pedro Avila","18864",658648
"Kyle Keller","BOS","ST",33,1,0,5.86956278362988,8,1,0,0,1,1,1,7.2,41,8,5,5,1,7,0,2,1,1,5,"Kyle Keller","18890",664918
"Tommy Nance","TOR","ST",35,1,1,6.75000402331592,5,0,0,0,0,1,0,5.1,27,8,4,4,0,3,0,0,0,0,6,"Tommy Nance","19178",667297
"Lake Bachar","MIA","ST",31,0,0,2.6999987125402867,6,0,0,0,0,0,1,6.2,33,6,5,2,0,6,0,0,4,0,11,"Lake Bachar","19222",669199
"Cole Irvin","LAD","ST",32,1,0,9,4,2,0,0,0,0,2,8,36,9,8,8,4,5,0,0,0,0,4,"Cole Irvin","19244",608344
"Thomas Hatch","ARI","ST",31,0,0,5.4,3,1,0,0,0,0,0,5,22,6,5,3,2,1,0,0,0,0,5,"Thomas Hatch","19264",641672
"Jacob Webb","CHC","ST",32,0,0,3.6,5,0,0,0,0,1,2,5,23,4,3,2,0,3,0,0,1,0,3,"Jacob Webb","19274",657097
"Nick Hernandez","ATH","ST",31,0,1,10.5,7,0,0,0,1,0,0,6,29,5,7,7,2,8,0,0,0,1,6,"Nick Hernandez","19281",663321
"Zac Gallen","ARI","ST",30,0,0,4.04999806881043,3,3,0,0,0,0,0,6.2,28,8,3,3,1,0,0,1,0,0,6,"Zac Gallen","19291",668678
"Trevor Richards","PHI","ST",33,0,0,3.857142857142857,7,1,0,0,1,0,1,7,31,6,5,3,0,4,0,0,0,0,10,"Trevor Richards","19309",670950
"Eric Lauer","TOR","ST",31,0,1,8.640003295899694,4,4,0,0,0,0,0,8.1,39,11,8,8,1,2,0,1,0,0,7,"Eric Lauer","19316",641778
"Richard Lovelady","WSN","ST",30,0,0,1.8,5,0,0,0,1,0,1,5,23,5,1,1,0,3,0,0,0,0,8,"Richard Lovelady","19337",663992
"Dean Kremer","BAL","ST",30,0,1,5,3,3,0,0,0,0,0,9,40,7,5,5,0,7,0,0,2,1,10,"Dean Kremer","19350",665152
"Lucas Erceg","KCR","ST",31,0,0,1.8,5,0,0,0,0,1,0,5,24,6,3,1,0,2,0,0,0,0,5,"Lucas Erceg","19360",668674
"Walker Buehler","SDP","ST",31,2,0,3.0857134449240973,3,3,0,0,0,0,0,11.2,48,10,4,4,0,4,0,2,0,0,13,"Walker Buehler","19374",621111
"Dane Dunning","SEA","ST",31,1,0,5.684213379414899,3,1,0,0,0,0,1,6.1,30,5,4,4,0,5,0,0,1,0,4,"Dane Dunning","19409",641540
"Yohan Ramírez","PIT","ST",31,1,0,3.6818197778440727,7,0,0,0,0,0,2,7.1,30,7,3,3,1,2,0,0,0,0,6,"Yohan Ramirez","19444",670990
"Shaun Anderson","LAA","ST",31,1,1,4.909090909090909,8,0,0,0,1,1,1,11,48,12,6,6,3,3,0,1,0,0,9,"Shaun Anderson","19453",641312
"Michael Rucker","SEA","ST",32,0,0,5.684213379414899,7,0,0,0,1,1,1,6.1,32,12,4,4,0,2,0,1,1,0,4,"Michael Rucker","19454",621074
"Jorge Alcala","TOR","ST",30,0,2,7.105266724268624,7,0,0,0,0,0,1,6.1,32,10,6,5,1,3,0,0,0,0,5,"Jorge Alcala","19459",660896
"Aaron Civale","ATH","ST",31,0,0,5.268291457503841,3,3,0,0,0,0,0,13.2,56,16,8,8,4,0,0,0,0,0,18,"Aaron Civale","19479",650644
"Tyler Ferguson","ATH","ST",32,0,1,6,6,0,0,0,0,1,0,6,27,9,4,4,1,2,0,2,0,1,6,"Tyler Ferguson","19481",621053
"Alan Rangel","PHI","ST",28,0,1,9.391300453807808,4,3,0,0,0,1,0,7.2,39,13,9,8,1,4,0,0,1,0,4,"Alan Rangel","19524",660604
"JoJo Romero","STL","ST",29,0,0,2.5714285714285716,7,0,0,0,0,0,1,7,26,4,2,2,1,2,0,1,0,0,7,"JoJo Romero","19574",668941
"Cionel Pérez","WSN","ST",30,0,0,0,5,0,0,0,0,0,2,5,18,2,1,0,0,1,0,0,0,0,4,"Cionel Perez","19614",672335
"Jordan Hicks","CHW","ST",29,0,0,4.695650226903904,7,1,0,0,0,0,3,7.2,32,6,4,4,1,5,0,0,0,0,7,"Jordan Hicks","19618",663855
"Kyle Hart","SDP","ST",33,1,0,0,7,0,0,0,0,0,1,13,50,9,2,0,0,3,0,1,0,1,14,"Kyle Hart","19646",606996
"Jason Alexander","HOU","ST",33,0,0,6.352937612568568,3,3,0,0,0,0,0,5.2,27,8,4,4,2,3,0,0,0,0,3,"Jason Alexander","19666",669920
"Connor Seabold","TOR","ST",30,0,0,6.749996781350717,6,0,0,0,1,0,1,6.2,33,7,5,5,1,4,0,3,0,0,13,"Connor Seabold","19695",657756
"Dustin May","STL","ST",28,0,1,1.5428567224620486,3,3,0,0,0,0,0,11.2,45,7,2,2,0,4,0,0,0,0,7,"Dustin May","19716",669160
"Kodi Whitley","TBR","ST",31,0,1,10.12500603497388,6,0,0,0,1,0,0,5.1,26,9,6,6,2,1,0,0,0,0,7,"Kodi Whitley","19731",676831
"Jonathan Loáisiga","ARI","ST",31,1,0,3.857142857142857,7,0,0,0,0,0,2,7,31,8,3,3,0,2,0,0,0,0,7,"Jonathan Loaisiga","19753",642528
"Keegan Thompson","COL","ST",31,1,0,7.5,5,0,0,0,1,0,1,12,58,18,10,10,2,5,0,1,0,0,4,"Keegan Thompson","19795",624522
